INDEX,CONTENT,COMMENT,RATING,REMARK
64,Разработка и применение системы машинного зрения в рамках транспортной системы предприятия,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
65,Разработка сервиса оплаты в push-уведомлениях с использованием платежной системы Google Pay,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
66,Разработка инструмента анализа научных статей методами text mining,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
67,Разработка и программная реализация аппроксимации временных рядов с помощью В-сплайнов,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
68,Применение нейронной сети для разработки модели создаваемого электроприводом усилия с целью формирования ограничения при движении,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
69,Разработка программы определения местонахождения игроков в виртуальном футболе,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
70,Разработка инструмента фильтрации шума в облаках точек,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
71,Реализация передачи событий между внутренними и third-party сервисами в web-приложении с микросервисной архитектурой с использованием брокера сообщений,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
72,Проектирование интерфейса мобильного приложения для развития бильярдного спорта,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
73,Разработка пользовательского интерфейса мобильного приложения для холодильника,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
74,Проектирование пользовательского интерфейса автомобильного навигационного приложения для мобильных устройств,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
75,Анализ функций мессенджеров и разработка рекомендаций по их совершенствованию,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
76,Проектирование сервиса по обмену книг,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
77,Разработка программно-аппаратного комплекса системы выращивания растений,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
78,Исследование методов реконструкции 3D объектов по изображениям,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
79,Интеграция ИС бизнес-среды «НАРАБОТЕ» с внешними информационными ресурсами и верификация данных,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
80,Исследование и разработки нейросетевых методов распознавания офтальмологических заболеваний,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
81,Разработка системы управления процессом охлаждения природного газа в турбодетандере на установке подготовки газа,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
82,Синтез системы антипомпажного регулирования газоперекачивающим агрегатом,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
83,Разработка лабораторного стенда на базе оборудования Mitsubishi Electric,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
84,Разработка WEB-приложения для обработки запросов пользователей IT-услуг ГАЗПРОМ ПЕРЕРАБОТКА средствами БИТРИКС,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
85,Моделирование и разработка систем управления в области биологической очистки стоков,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
86,Разработка информационной системы фитнес-клуба,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
87,Разработка клиентской части сервиса отслеживания привычек и достижения целей,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
88,Разработка интеллектуальных решений в сфере технологий «Интернета вещей»,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
